# Feed created for the Stratosphere Linux IPS
# Mantainer: Veronica Valeros <vero.valeros@gmail.com>
# type: domain, ip
# ioc: indicator
# description: name::reference
#"type","ioc","description","date_added"
domain,yoc-performance.com,exodus::tracker::https://etip.exodus-privacy.eu.org/trackers/cddf007e-f28d-440e-8b4b-146817be93f9/,2020/11/14
domain,yoc.com,exodus::tracker::https://etip.exodus-privacy.eu.org/trackers/cddf007e-f28d-440e-8b4b-146817be93f9/,2020/11/14
domain,casalemedia.com,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/casalemedia.com,2020/11/14
domain,aax.amazon-adsystem.com,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/aax.amazon-adsystem.com,2020/11/14
domain,control.kochava.com,trackeranalytics::https://github.com/YalePrivacyLab/tracker-profiles/blob/master/trackers/Kochava.md,2020/11/14
domain,contextual.media.net,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/contextual.media.net,2020/11/14
domain,cslogger.media.net,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/cslogger.media.net,2020/11/14
domain,cs.media.net,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/cs.media.net,2020/11/14
domain,hblg.media.net,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/hblg.media.net,2020/11/14
domain,hbx.media.net,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/hbx.media.net,2020/11/14
domain,secure.adnxs.com,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/secure.adnxs.com,2020/11/14
domain,364bf52c.akstat.io,tracker::https://sitereview.bluecoat.com/#/lookup-result/364bf52c.akstat.io,2020/11/14
domain,36d71176.akstat.io,tracker::https://sitereview.bluecoat.com/#/lookup-result/36d71176.akstat.io,2020/11/14
domain,684dd30d.akstat.io,tracker::https://sitereview.bluecoat.com/#/lookup-result/684dd30d.akstat.io,2020/11/14
domain,685d5b1b.akstat.io,tracker::https://sitereview.bluecoat.com/#/lookup-result/685d5b1b.akstat.io,2020/11/14
domain,mcdp-nydc1.outbrain.com,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/mcdp-nydc1.outbrain.com,2020/11/14
domain,cbsdfp5832910442.s.moatpixel.com,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/cbsdfp5832910442.s.moatpixel.com,2020/11/14
domain,startappservice.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,images.startappservice.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,dts.startappservice.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,c2i.startappnetwork.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,c2s.startappnetwork.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,click.startappservice.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,events.startappservice.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,imp.startappservice.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,info.static.startappservice.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,init.startappservice.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,req.startappservice.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,soda.startappservice.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,va.origin.startappservice.com,exodus::tracker::https://reports.exodus-privacy.eu.org/en/trackers/195/,2020/11/14
domain,bat.bing.com,microsoft::tracker::https://answers.microsoft.com/en-us/ie/forum/ie11-iewindows_10/batbingcom/97cd7958-6f79-455f-926c-72580d1e35d8,2020/11/14
domain,ing-district.clicktale.net,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/ing-district.clicktale.net,2020/11/14
domain,c.clicktale.net,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/c.clicktale.net,2020/11/14
domain,cdnssl.clicktale.net,webanalytics::https://sitereview.bluecoat.com/#/lookup-result/cdnssl.clicktale.net,2020/11/14
domain,dsp.adfarm1.adition.com,tracker::https://sitereview.bluecoat.com/#/lookup-result/dsp.adfarm1.adition.com,2020/11/14
domain,www.semasio.com,tracker::https://www.semasio.com/,2020/11/14
domain,uipglob.semasio.net,tracker::https://www.semasio.com/,2020/11/14
domain,uip.semasio.net,tracker::https://www.semasio.com/,2020/11/14
domain,semasio.net,tracker::https://www.semasio.com/,2020/11/14
